Latitude,Longitude,Month,Day,Year,Pieces/km^2,micro,macro,Weight,micro,macro,source,Note,,#/m^3,mg/m^3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0400000000,-131.2400000000,4,NA,2006,63225.81,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0.0098,0.0822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.3900000000,-132.2500000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0400000000,-130.1900000000,4,NA,2006,916129.03,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0.142,0.4907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.3900000000,-131.1900000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0400000000,-129.1200000000,4,NA,2006,382580.65,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0.0593,0.9454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.3900000000,-130.1300000000,4,NA,2006,60000,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0.0093,0.0009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0500000000,-128.0700000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.4000000000,-128.0600000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.0900000000,-120.7800000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.0200000000,-120.9200000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.8900000000,-121.2000000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.7200000000,-121.5600000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.3900000000,-122.2500000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.0500000000,-122.9400000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.7200000000,-123.6400000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.3900000000,-124.3200000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.4500000000,-120.5200000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.3200000000,-120.8000000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.1500000000,-121.1500000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.8200000000,-121.8400000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.4800000000,-122.5300000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.1500000000,-123.2200000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.8200000000,-123.9100000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.2800000000,-120.0300000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.2200000000,-119.4200000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.1800000000,-119.5100000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.8800000000,-120.1400000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.7400000000,-120.4100000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.5800000000,-120.7700000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.2500000000,-121.4400000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.9200000000,-122.1300000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.5800000000,-122.8200000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.2500000000,-123.4900000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.9100000000,-124.1700000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.8900000000,-118.4900000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.8300000000,-118.6300000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.6600000000,-118.9700000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.4900000000,-119.3200000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.3200000000,-119.6500000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.1600000000,-120.0100000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.9900000000,-120.3500000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.6600000000,-121.0300000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.3300000000,-121.7100000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.9900000000,-122.4000000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.6600000000,-123.0700000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.3200000000,-123.7400000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.4800000000,-117.7700000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.4200000000,-117.9100000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.2500000000,-118.2500000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.1900000000,-118.3900000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.9200000000,-118.9300000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.6500000000,-119.4900000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.4200000000,-119.9600000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.0800000000,-120.6400000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.7500000000,-121.3200000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.4200000000,-121.9900000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.0800000000,-122.6500000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.7500000000,-123.3400000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.9600000000,-117.3100000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.9100000000,-117.4000000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.8500000000,-117.5300000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.6800000000,-117.8700000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.5200000000,-118.2100000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.3500000000,-118.5600000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.1800000000,-118.8900000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.0100000000,-119.2300000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.8500000000,-119.5800000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.5100000000,-120.2300000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.1800000000,-120.9200000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.8500000000,-121.5900000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.5200000000,-122.2600000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.1800000000,-122.9200000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.6100000000,-117.2000000000,4,NA,2006,81935.48,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0.0127,0.0013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.5500000000,-117.3400000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.3900000000,-117.6800000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.2200000000,-118.0200000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.0600000000,-118.3600000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.8900000000,-118.7000000000,4,NA,2006,223870.97,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0.0347,0.1597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.7200000000,-119.0400000000,4,NA,2006,443225.81,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0.0687,0.2383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.0900000000,-120.7800000000,7,NA,2006,96774.19,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0.015,0.0045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.0200000000,-120.9200000000,7,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.8900000000,-121.2000000000,7,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.7200000000,-121.5500000000,7,NA,2006,166451.61,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0.0258,0.0245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.3800000000,-122.2500000000,7,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.0600000000,-122.9400000000,7,NA,2006,201935.48,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0.0313,0.0047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.7200000000,-123.6400000000,7,NA,2006,489677.42,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0.0759,0.4446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.3900000000,-124.3200000000,7,NA,2006,754838.71,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0.117,0.0949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.4500000000,-120.5300000000,7,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.3200000000,-120.8000000000,7,NA,2006,150322.58,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0.0233,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.1500000000,-121.1500000000,7,NA,2006,316774.19,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0.0491,0.0012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.8200000000,-121.8400000000,7,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.4800000000,-122.5300000000,7,NA,2006,69677.42,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0.0108,0.0054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.1500000000,-123.2200000000,7,NA,2006,323225.81,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0.0501,0.3442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.8200000000,-123.9100000000,7,NA,2006,163225.81,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0.0253,0.0013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.2800000000,-120.0300000000,7,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.2200000000,-119.4100000000,7,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.1800000000,-119.5100000000,7,NA,2006,217419.35,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0.0337,0.0219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.8800000000,-120.1300000000,7,NA,2006,142580.65,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0.0221,0.0122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.7400000000,-120.4100000000,7,NA,2006,257419.35,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0.0399,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.5800000000,-120.7600000000,7,NA,2006,514193.55,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0.0797,0.0146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.2500000000,-121.4500000000,7,NA,2006,289032.26,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0.0448,0.0067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.9100000000,-122.1300000000,7,NA,2006,380000,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0.0589,0.0506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.5800000000,-122.8100000000,7,NA,2006,236129.03,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0.0366,0.116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.2400000000,-123.4900000000,7,NA,2006,1472258.06,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0.2282,0.6648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.9100000000,-124.1700000000,7,NA,2006,276774.19,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0.0429,0.2504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.8900000000,-118.4900000000,7,NA,2006,520645.16,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0.0807,0.0438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.8200000000,-118.6300000000,7,NA,2006,709032.26,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0.1099,0.0151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.6600000000,-118.9700000000,7,NA,2006,1164516.13,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0.1805,0.1639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.4900000000,-119.3200000000,7,NA,2006,251612.9,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0.039,0.0584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.3200000000,-119.6600000000,7,NA,2006,230967.74,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0.0358,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.1600000000,-120.0100000000,7,NA,2006,517419.35,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0.0802,0.0134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.9900000000,-120.3500000000,7,NA,2006,75483.87,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0.0117,0.0035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.6500000000,-121.0300000000,7,NA,2006,273548.39,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0.0424,0.0367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.3200000000,-121.7200000000,7,NA,2006,953548.39,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0.1478,0.0131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.9900000000,-122.3900000000,7,NA,2006,280645.16,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0.0435,0.0116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
