Lat,Long,Month,Day,Year,Total,<5mm,>5mm,Weight,<5mm,>5mm,Source,Note,,>5mm/m^3,<5mm/m^3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.1297,-143.7271,8,7,2014,38285,31622.5,6662.5,,,,Isobe 2015,Not Adjusted cut off at 5mm,,0.0205,0.0973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.3261,-127.226,8,23,2014,661407.5,654452.5,6955,,,,Isobe 2015,Not Adjusted cut off at 5mm,,0.0214,2.0137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.2764,-130.3638,7,20,2014,184437.5,176572.5,7865,,,,Isobe 2015,Not Adjusted cut off at 5mm,,0.0242,0.5433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.3846,-127.3437,8,25,2014,145405,132372.5,13032.5,,,,Isobe 2015,Not Adjusted cut off at 5mm,,0.0401,0.4073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0049,-142.1097,8,8,2014,68575,55380,13195,,,,Isobe 2015,Not Adjusted cut off at 5mm,,0.0406,0.1704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.6795,-133.2104,7,23,2014,54600,39000,15600,,,,Isobe 2015,Not Adjusted cut off at 5mm,,0.048,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.6565,-141.5092,8,8,2014,313235,296855,16380,,,,Isobe 2015,Not Adjusted cut off at 5mm,,0.0504,0.9134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.5574,-132.9897,7,22,2014,70525,50375,20150,,,,Isobe 2015,Not Adjusted cut off at 5mm,,0.062,0.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.5913,-135.9111,7,24,2014,103090,80697.5,22392.5,,,,Isobe 2015,Not Adjusted cut off at 5mm,,0.0689,0.2483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.4664,-135.6667,7,31,2014,284667.5,260942.5,23725,,,,Isobe 2015,Not Adjusted cut off at 5mm,,0.073,0.8029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0124,-136.2575,7,31,2014,209072.5,185087.5,23985,,,,Isobe 2015,Not Adjusted cut off at 5mm,,0.0738,0.5695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.133,-141.8661,8,1,2014,816335,786337.5,29997.5,,,,Isobe 2015,Not Adjusted cut off at 5mm,,0.0923,2.4195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.948,-139.9696,8,2,2014,737100,705510,31590,,,,Isobe 2015,Not Adjusted cut off at 5mm,,0.0972,2.1708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.2579,-131.0957,7,21,2014,90285,55607.5,34677.5,,,,Isobe 2015,Not Adjusted cut off at 5mm,,0.1067,0.1711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.7175,-130.0057,9,2,2014,868107.5,832715,35392.5,,,,Isobe 2015,Not Adjusted cut off at 5mm,,0.1089,2.5622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.4886,-136.9035,8,1,2014,1849770,1813500,36270,,,,Isobe 2015,Not Adjusted cut off at 5mm,,0.1116,5.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.9588,-137.7089,8,2,2014,842432.5,803400,39032.5,,,,Isobe 2015,Not Adjusted cut off at 5mm,,0.1201,2.472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.1268,-136.1286,7,30,2014,710125,670670,39455,,,,Isobe 2015,Not Adjusted cut off at 5mm,,0.1214,2.0636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.4171,-140.3166,7,28,2014,283660,240045,43615,,,,Isobe 2015,Not Adjusted cut off at 5mm,,0.1342,0.7386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.9117,-136.2198,7,30,2014,678925,630435,48490,,,,Isobe 2015,Not Adjusted cut off at 5mm,,0.1492,1.9398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.4487,-128.2083,8,22,2014,475247.5,410150,65097.5,,,,Isobe 2015,Not Adjusted cut off at 5mm,,0.2003,1.262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.4993,-126.6297,8,24,2014,475507.5,402155,73352.5,,,,Isobe 2015,Not Adjusted cut off at 5mm,,0.2257,1.2374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.482,-129.5291,7,18,2014,722930,640575,82355,,,,Isobe 2015,Not Adjusted cut off at 5mm,,0.2534,1.971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.9836,-130.4098,7,20,2014,308587.5,219212.5,89375,,,,Isobe 2015,Not Adjusted cut off at 5mm,,0.275,0.6745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0288,-127.4988,8,23,2014,670995,580807.5,90187.5,,,,Isobe 2015,Not Adjusted cut off at 5mm,,0.2775,1.7871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.1576,-130.1569,7,18,2014,1186542.5,1094567.5,91975,,,,Isobe 2015,Not Adjusted cut off at 5mm,,0.283,3.3679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.4518,-128.9664,8,22,2014,599625,505245,94380,,,,Isobe 2015,Not Adjusted cut off at 5mm,,0.2904,1.5546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.5118,-136.7835,7,24,2014,833657.5,718217.5,115440,,,,Isobe 2015,Not Adjusted cut off at 5mm,,0.3552,2.2099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.411,-142.4444,8,8,2014,1439295,1306012.5,133282.5,,,,Isobe 2015,Not Adjusted cut off at 5mm,,0.4101,4.0185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.6846,-138.1717,7,26,2014,1443227.5,1285797.5,157430,,,,Isobe 2015,Not Adjusted cut off at 5mm,,0.4844,3.9563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.8399,-137.6901,8,1,2014,6039670,5863065,176605,,,,Isobe 2015,Not Adjusted cut off at 5mm,,0.5434,18.0402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.4306,-135.8995,8,1,2014,1123200,936000,187200,,,,Isobe 2015,Not Adjusted cut off at 5mm,,0.576,2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.1839,###############################################################################################################################################################################################################################################################,8,2,2014,1710085,1521390,188695,,,,Isobe 2015,Not Adjusted cut off at 5mm,,0.5806,4.6812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.8722,###############################################################################################################################################################################################################################################################,8,31,2014,1287715,1081047.5,206667.5,,,,Isobe 2015,Not Adjusted cut off at 5mm,,0.6359,3.3263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.8632,-135.2897,7,31,2014,5561497.5,5138347.5,423150,,,,Isobe 2015,Not Adjusted cut off at 5mm,,1.302,15.8103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.483,-141.5103,8,6,2014,3558977.5,3092375,466602.5,,,,Isobe 2015,Not Adjusted cut off at 5mm,,1.4357,9.515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.4557,-132.8046,7,17,2014,11506787.5,9954750,1552037.5,,,,Isobe 2015,Not Adjusted cut off at 5mm,,4.7755,30.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.1392,-131.408,7,18,2014,24969717.5,22888092.5,2081625,,,,Isobe 2015,Not Adjusted cut off at 5mm,,6.405,70.4249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.6551,-129.812,7,19,2014,85096407.5,71966212.5,13130195,,,,Isobe 2015,Not Adjusted cut off at 5mm,,40.4006,221.4345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
